航空公司,抵达地,日期,标注
东航(MU）,南京（NKG）,每周二,
南航,广州,每周三，周五,
国航,北京,每周日,
川航,成都,每周三,
厦门航空,厦门,每周五,
加航,上海,每周五,
,,,
中转方案一：加拿大本地中转,,,
航空公司,目的地,日期,标注
海航,北京,周三，周一,
东航(MU),上海,周六,
,,,
中转方案二：第三地中转,,,
韩国(ICN),目前还是可以中转,,
日本(NRT),加航似乎有很多机票都是选择在日本转机,,
香港,始终没有开放非香港居民入境,,目前不推荐
泰国,现在还没有开发，据说九月份可能会开放,,
